"Location","Year","Short Name","Planting Date","Temperature (mean)","Photoperiod (mean)","Latitude","Longitude","Number of Seeds Sown","Plot Type"
"Sutherland, Canada",2016,"Su16",2016-04-27,16.7,15.9,52.1677,-106.5054,60,"three, 1 meter rows"
"Rosthern, Canada",2016,"Ro16",2016-05-06,17.2,16.1,52.6892,-106.2945,60,"three, 1 meter rows"
"Marchouch, Morocco",2016,"Mo16",2016-11-21,12,10.8,33.62,-6.72,25,"one, 1 meter row"
"Cordoba, Spain",2016,"Sp16",2016-12-13,12.5,10.9,37.9,-4.8,25,"one, 1 meter row"
"Metaponto, Italy",2016,"It16",2016-11-29,10.6,10.9,40.39,16.78,25,"one, 1 meter row"
"Bhopal, India",2016,"In16",2016-12-04,17.6,10.9,23.11,76.88,25,"one, 1 meter row"
"Bardiya, Nepal",2016,"Ne16",2016-11-14,19.2,11,28.25,81.5,25,"one, 1 meter row"
"Jessore, Bangladesh",2016,"Ba16",2016-11-15,18.6,10.8,23.19,89.19,25,"one, 1 meter row"
"Sutherland, Canada",2017,"Su17",2017-05-04,15.7,16.1,52.16832,-106.5108,70,"three, 1 meter rows"
"Rosthern, Canada",2017,"Ro17",2017-05-19,17.5,16.4,52.6915,-106.2897,70,"three, 1 meter rows"
"Marchouch, Morocco",2017,"Mo17",2017-12-21,11.8,11.5,33.62,-6.72,50,"two, 1 meter rows"
"Cordoba, Spain",2017,"Sp17",2017-12-14,11.7,11.1,37.9,-4.8,50,"two, 1 meter rows"
"Metaponto, Italy",2017,"It17",2017-11-28,11.2,10.8,40.39,16.78,50,"two, 1 meter rows"
"Bhopal, India",2017,"In17",2017-11-09,20.6,10.7,23.115,76.885,50,"two, 1 meter rows"
"Jessore, Bangladesh",2017,"Ba17",2017-12-03,21.7,11,23.195,89.195,50,"two, 1 meter rows"
"Central Ferry, USA",2018,"Us18",2018-03-29,15.8,14.3,46.65,-117.76,50,"two, 1 meter rows"
"Sutherland, Canada",2018,"Su18",2018-05-09,17.6,16.1,52.1689,-106.5149,70,"three, 1 meter rows"
"Bardiya, Nepal",2017,"Ne17",2017-11-03,19.4,10.8,28.42,81.86,50,"two, 1 meter rows"
