"Expt","Year","Country","Location","MacroEnv","Lat","Lon","Start","End","Days","Number_of_Seeds_Sown","Plot_Type"
"Sutherland, Canada 2016","2016","Canada","Sutherland, Canada","Temperate",52.1677,-106.5054,2016-04-27,2016-08-19,114,60,"three, 1 meter rows"
"Rosthern, Canada 2016","2016","Canada","Rosthern, Canada","Temperate",52.6892,-106.2945,2016-05-06,2016-08-19,105,60,"three, 1 meter rows"
"Marchouch, Morocco 2016","2016","Morocco","Marchouch, Morocco","Mediterranean",33.62,-6.72,2016-11-21,2017-05-30,190,25,"one, 1 meter row"
"Cordoba, Spain 2016","2016","Spain","Cordoba, Spain","Mediterranean",37.9,-4.8,2016-12-13,2017-06-02,171,25,"one, 1 meter row"
"Metaponto, Italy 2016","2016","Italy","Metaponto, Italy","Mediterranean",40.39,16.78,2016-11-29,2017-06-30,213,25,"one, 1 meter row"
"Bhopal, India 2016","2016","India","Bhopal, India","South Asia",23.11,76.88,2016-12-04,2017-03-31,117,25,"one, 1 meter row"
"Bardiya, Nepal 2016","2016","Nepal","Bardiya, Nepal","South Asia",28.25,81.5,2016-11-14,2017-04-18,155,25,"one, 1 meter row"
"Jessore, Bangladesh 2016","2016","Bangladesh","Jessore, Bangladesh","South Asia",23.19,89.19,2016-11-15,2017-04-02,138,25,"one, 1 meter row"
"Sutherland, Canada 2017","2017","Canada","Sutherland, Canada","Temperate",52.16832,-106.5108,2017-05-04,2017-08-17,105,70,"three, 1 meter rows"
"Rosthern, Canada 2017","2017","Canada","Rosthern, Canada","Temperate",52.6915,-106.2897,2017-05-19,2017-08-23,96,70,"three, 1 meter rows"
"Marchouch, Morocco 2017","2017","Morocco","Marchouch, Morocco","Mediterranean",33.62,-6.72,2017-12-21,2018-06-19,180,50,"two, 1 meter rows"
"Cordoba, Spain 2017","2017","Spain","Cordoba, Spain","Mediterranean",37.9,-4.8,2017-12-14,2018-06-15,183,50,"two, 1 meter rows"
"Metaponto, Italy 2017","2017","Italy","Metaponto, Italy","Mediterranean",40.39,16.78,2017-11-28,2018-06-05,189,50,"two, 1 meter rows"
"Bhopal, India 2017","2017","India","Bhopal, India","South Asia",23.115,76.885,2017-11-09,2018-04-01,143,50,"two, 1 meter rows"
"Jessore, Bangladesh 2017","2017","Bangladesh","Jessore, Bangladesh","South Asia",23.195,89.195,2017-12-03,2018-05-02,150,50,"two, 1 meter rows"
"Central Ferry, USA 2018","2018","USA","Central Ferry, USA","Temperate",46.65,-117.76,2018-03-29,2018-07-25,118,50,"two, 1 meter rows"
"Sutherland, Canada 2018","2018","Canada","Sutherland, Canada","Temperate",52.1689,-106.5149,2018-05-09,2018-08-29,112,70,"three, 1 meter rows"
"Bardiya, Nepal 2017","2017","Nepal","Bardiya, Nepal","South Asia",28.42,81.86,2017-11-03,2018-05-20,198,50,"two, 1 meter rows"
